ID,词根,来源
207,"LUC[LUX, LUS]","来自拉丁语的 luc 意为 light, 它的变形为 lux, lus。同义词根有来自拉丁语的 lumin [lun] 和来自希腊语的 photo 以及来自盎格鲁-撒克逊语的 light。"
208,"EMPT, EM[EEM, MPT, M, ANSOM]","来自拉丁语的 empt, em 意为 to take,变形为 eem, mpt, m, ansom。同义词根有来自拉丁语的 prehend/prehens, pris, cap/capt/cept/ceiv [cip, cup, ceit], rap/rav, sum/sumpt, lab /lep 等。"
209,TOL,"来自拉丁语的 tol 意为 to raise, to support。"
210,GREG,"来自拉丁语的 greg 意为 flock, mob。"
211,LIC,"来自拉丁语的 lic 意为 to entice, to permit。"
212,RUD,来自拉丁语的 rud 意为 crude。
213,VAN [VAIN],"来自拉丁语的 van 意为 empty,它的变形为 vain。同义词根有来自拉丁语的 vac, void 和来自盎格鲁-撒克逊语的 wan。"
214,HILAR,来自希腊语的 hilar 意为 merry。
215,HORT,来自拉丁语的 hort 意为 to urge。
216,PI,"来自拉丁语的 pi 意为 holy。同义词根有来自拉丁语的secr, sanct 和来自希腊语的 hagi, hier。"
217,PURG,来自拉丁语的 purg 意为 clean。同义词根有来自拉丁语的 pur。
218,TRIC [TRIG],"来自拉丁语的 tric 意为 petty obstacle,它的变形为 trig。"
219,BULL,"来自拉丁语的 bull 意为 to boil, seal。同义词根有来自拉丁语的 ferv。"
220,FIG,来自拉丁语的 fig 意为 to form。
221,"MAN [MN, MAIN]","来自拉丁语的 man 意为 to flow, to stay, 它的变形为 mn, main。当意为 to flow 时, 同义词根有来自拉丁语的 flu, lix 和来自希腊语的 rrh。"
222,MEND,"来自拉丁语的 mend 意为 fault。此外,还有意为 to order 的mand, mend,请勿混淆。"
223,NERV,来自拉丁语的 nerv 意为 nerve。同义词根有来自希腊语的 neur。
224,FET,来自拉丁语的 fet 意为 productive。
225,"MERS, MERG","来自拉丁语的 merg, mers 意为 to dip, to plunge。"
226,CALCUL,来自拉丁语的 calcul 意为 to reckon。同义词根有来自拉丁语的 rat。
227,GRAN [GRAIN],"来自拉丁语的 gran 意为 seed,它的变形为 grain。"
228,IT[1],"来自拉丁语的 it 意为 to go,它的变形为等。同义词根有来自拉丁语的 ced/cess [ceed, ceas], grad/gress [gred], vad/vas 和来自希腊语的 bat[bet, bit]以及来自盎格鲁-撒克逊语的 fare等。"
229,NOV,来自拉丁语的 nov 意为 new。
230,TIM[TEM],"来自拉丁语的 tim 意为 to fear,元音弱化后变成tem。同义词根有来自拉丁语的 trem/trep和来自希腊语的 phob。"
231,PART,来自拉丁语的 part 意为 part。
232,FLAT,来自拉丁语的 flat 意为 to blow。
233,"ORD, ORDIN [ORDAIN]","来自拉丁语的ord, ordin 意为 to order, 变形为 ordain。"
234,PED,"来自拉丁语的ped意为foot,来自希腊语的ped意为child。当意为foot时,其变形为pod, pus, peach, patch, fet。"
235,"PUN, PEN [POEN]","来自拉丁语的 pun, pen 意为 to punish, pen 变形为 poen。同义词根为来自拉丁语的 veng。"
236,CRIMIN,"来自拉丁语的 crimin 意为 crime, guilty, to separate。"
237,STILL,来自拉丁语的 still 意为 to drop。
238,"MORT, MORS, MOR","来自拉丁语的 mort, mors, mor 意为 death。同义词根有来自希腊语的 leth, necr, thanat/than 等。"
239,POVER[PAUPER],"来自拉丁语的 pover 意为 poor,它的变形为 pauper。"
240,CINER,来自拉丁语的 ciner 意为 ashes。
241,CIT,"来自拉丁语的 cit 意为 to call, to arouse。"
242,SINU,"来自拉丁语的 sinu 意为 curve, hollow。"
243,"TREP, TREM","来自拉丁语的 trep, trem 意为 to fear。同义词根有来自拉丁语的 tim 和来自希腊语的 phob。"
244,VAR,来自拉丁语的 var 意为 change。
245,VER,"来自拉丁语的 ver 意为 to feel awe, to fear。此外, ver 还有 true 的意思,注意不要混淆。"
246,BIB[BEV],"来自拉丁语的 bib 意为 to drink, 它的变形为 bev。"
247,"PET[PIT, PEAT]","来自拉丁语的 pet 意为 to rush, to seek, to strive。pit 和 peat 是其变形。"
248,"DAMN[DEMN, DAM]","来自拉丁语的 damn 意为 curse, harm, 其元音弱化后变成 demn, 它的变形为 dam。"
249,FALL,来自拉丁语的 fall 意为 to err。
250,"NOC[NOX, NIC, NEC]","来自拉丁语的 noc 意为 to harm, 它的变形有 nox, nic, nec 等。"
251,PORT,"来自拉丁语的 port 意为 to carry。同义词根有来自拉丁语的 fer, lat, ger/gest, veh/vect 和来自希腊语的 phor/pher。"
252,TEGR,"来自拉丁语的 tegr 意为 to touch。同义词根有来自拉丁语的 palp 和 tang/tact/ting[tig, tag]。"
253,VET,"来自拉丁语的 vet 意为 old。同义词根有来自拉丁语的 sen, presby 和来自希腊语的 geronto。"
254,VULN[VULT],"来自拉丁语的 vuln 意为 wound, 它的变形为 vult。"
255,MUT,来自拉丁语的 mut 意为 to change。
256,PUGN,来自拉丁语的 pugn 意为 to fight。同义词根有来自拉丁语的 milit。
257,ANIM,"来自拉丁语的 anim 意为 life, mind, breath。同义词根有来自拉丁语的 viv, vit, vig/veg 和来自希腊语的 bio 等。"
258,AVI[AU],"来自拉丁语的 avi 意为 bird, 它的变形为 au。"
259,CALC[CULC],"来自拉丁语的 calc 意为 to tread, 它的变形为 culc。"
260,FIRM,"来自拉丁语的 firm 意为 strong。同义词根有来自拉丁语的 bil, fort/forc, rob, val/vail 等。"
261,SCRUT,来自拉丁语的 scrut 意为 to examine。
262,"SURG, SURRECT","来自拉丁语的 surg, surrect 意为 to rise。"
263,TEMPER,"来自拉丁语的 temper 意为 moderate, to stretch。"
264,"VEH, VECT[VEIGH, VEX]","来自拉丁语的 veh, vect 意为 to carry, 它们的变形为 veigh, vex。同义词根有来自拉丁语的 fer, lat, ger/gest, port 和来自希腊语的 phor/pher。"
265,PECU,来自拉丁语的 pecu 意为 money。同义词根有来自拉丁语的 lucr。
266,TURB,来自拉丁语的 turb 意为 to agitate。
267,OR,"来自拉丁语的 or 意为 to say。同义词根有来自拉丁语的 dic/dict, fa/fam/fess, locut/loqu, nounc/nunci, parl 和来自希腊语的 phras, pha/phe/phu。"
268,"NAT, NASC[NAISS, NAIV]","来自拉丁语的 nat, nasc 意为 to be born, 变形为 naiss, naiv。"
269,MACUL,"来自拉丁语的 macul 意为 stain, spot。"
270,MUR,来自拉丁语的 mur 意为 wall。
271,LUCT,来自拉丁语的 luct 意为 to struggle。
272,RUPT,来自拉丁语的 rupt 意为 to break。同义词根有来自拉丁语的 fract/frag[fring]。
273,MEDI,来自拉丁语的 medi 意为 middle。
274,NUTRI,来自拉丁语的 nutri 意为 to nourish。同义词根有来自拉丁语的 al 和来自希腊语的 troph。
275,VOL,"来自拉丁语的 vol 意为 will, to fly。"
276,"RECT, RIG","来自拉丁语的 rect, rig 意为 straight, right。"
277,LITER,来自拉丁语的 liter 意为 letter。
278,ED[ES],"来自拉丁语的 ed 意为 to eat, 变形为 es。同义词根有来自拉丁语的 vor 和来自希腊语的 phag。"
279,DUR,来自拉丁语的 dur 意为 to last。
280,"CEL[CUL, CEAL]","来自拉丁语的 cel 意为 to hide, 变形为 cul, ceal。同义词根有来自拉丁语的 cond, cover/cur, tect/teg 和来自希腊语的 crypto。"
281,SCEN,来自拉丁语的 scen 意为 to set。
282,"LOQU, LOCUT","来自拉丁语的 loqu, locut 意为 to say, to speak。同义词根有来自拉丁语的 dic/dict, fa/fam/fess, nounc/nunci, or, parl 和来自希腊语的 phras, pha/phe/phu 等。"
283,OD,来自希腊语的 od 意为 song。
284,DOX,来自希腊语的 dox 意为 opinion。
285,GON,"来自希腊语的 gon 意为 to compare, to test, angle。"
286,SIT,"来自希腊语的 sit 意为 food, grain, to sit。"
287,ALL,"来自希腊语的 all 意为 other。同义词根有来自拉丁语的 alter[ulter], ali。"
288,"PHRAS, PHA, PHE, PHU","来自希腊语的 phras 意为 to say, to speak, 具有相同含义的还有 pha, phe, phu。同义词根有来自拉丁语的 dic/dict, fa/fam/fess, locut/loqu, nounc/nunci, or, parl 等。"
289,OXY[OX],"来自希腊语的 oxy 意为 sharp, acid。在元音前, oxy 中的 y 脱落, 变成 OX。"
290,METER[METR],"来自希腊语的 meter 意为 measure, metr 为其变形。同义词根有来自拉丁语的 mens。"
291,JUR,"来自拉丁语的 jur 意为 to swear, law。"
292,"VAD, VAS[WAD]","来自拉丁语的 vad, vas 意为 to go, 它们的变形为 wad。同义词根有来自拉丁语的 ced/cess[ceed, ceas], grad/gress, 来自希腊语的 bat[bet, bit] 和来自盎格鲁-撒克逊语的 fare。"
293,ANN[ENN],"来自拉丁语的 ann 意为 year, 其元音弱化后变成 enn。"
294,FUNCT,来自拉丁语的 funct 意为 to perform。
295,MEA[ME],"来自拉丁语的 mea 意为 to pass, 其变形为 me。"
296,CAU,来自拉丁语的 cau 意为 to take care。
297,MAT,来自拉丁语的 mat 意为 ripe。
298,"SUMPT, SUM","来自拉丁语的 sum, sumpt 意为 to take, to use, to waste。同义词根有来自拉丁语的 prehend/prehens, pris, cap/capt/cept/ceiv[cip, cup, ceit], empt/em, rap/rav, lab/lep 等。"
299,DOMIN,"来自拉丁语的 domin 意为 master, lord。"
300,POSTER,来自拉丁语的 poster 意为 coming after。
301,AMBUL[AMBL],"来自拉丁语的 ambul 意为 to walk, 变形为 ambl。同义词根有来自拉丁语的 pat。"
302,MED,"来自拉丁语的 med 意为 to heal, to attend to。"
303,TEXT,来自拉丁语的 text 意为 to weave。
304,MON[MIN],"来自拉丁语的 mon 意为 to warn, to advise, to remind, 变形为 min。"
305,SAG,来自拉丁语的 sag 意为 to perceive。
306,CUR,来自拉丁语的 cur 意为 to take care。
307,SCI,"来自拉丁语的 sci 意为 to know。同义词根有来自拉丁语的 gno, not。"
308,"MONT, MOUNT","来自拉丁语的 mont, mount 意为 hill, to rise。"
309,"FUS, FUT, FUND, FOUND","来自拉丁语的 fus, fut, fund, found 意为 to pour。同义词根有来自希腊语的 chem。"
310,AL,来自拉丁语的 al 意为 to nourish。同义词根有来自拉丁语的 nutri 和来自希腊语的 troph。
311,CLIV,"来自拉丁语的 cliv 意为 to bend。同义词根有来自拉丁语的 clin/cli, flect/flex, cumb/cub 和来自盎格鲁-撒克逊语的 croach[croch, crouch, crotch, crutch, crook] 等。"
312,"TEG, TECT","来自拉丁语的 teg, tect 意为 to hide, to cover。同义词根有来自拉丁语的 cond, cel[ceal, cul], cover/cur 等和来自希腊语的 crypt。"
313,BURS,"来自拉丁语的 burs 意为 bag, sack, purse。"
314,"FORT, FORC","来自拉丁语的 fort, forc 意为 strong。同义词根有来自拉丁语的 bil, firm, rob, val/vail 等。"
315,TARD,来自拉丁语的 tard 意为 slow。同义词根有来自盎格鲁-撒克逊语的 slo。反义词根有来自拉丁语的 cel。
316,HAB[HIB],"来自拉丁语的 hab 意为 to live, to have, to hold, 它的元音弱化形为 hib。"
317,JUVEN,来自拉丁语的 juven 意为 young。
318,LEN,来自拉丁语的 len 意为 soft。
319,VIL,来自拉丁语的 vil 意为 cheap。
320,NEG,来自拉丁语的 neg 意为 to deny。
321,"NOUNC, NUNCI","来自拉丁语的 nounc, nunci 意为 to say, to report。同义词根有来自拉丁语的 dic/dict, fa/fam/fess, locut/loqu, or, parl 等和来自希腊语的 phras, pha/phe/phu。"
322,"SCIND, SCIS","来自拉丁语的 scind, scis 意为 to cut。同义词根有来自拉丁语的 cis, cop/coup, sect, sever, tail, tons, trench 和来自希腊语的 tom[tem]。"
323,TAC[TIC],"来自拉丁语的 tac 意为 silent, 其元音弱化后变成 tic。"
324,DUB[DOUB],"来自拉丁语的 dub 意为 uncertain, 其变形为 doub。"
325,MONSTR,来自拉丁语的 monstr 意为 to show。同义词根有来自希腊语的 phan/phen。
326,PUD,来自拉丁语的 pud 意为 ashamed。
327,TRENCH,"来自拉丁语的 trench 意为 to cut。同义词根有来自盎格鲁-撒克逊语的 tail, 来自拉丁语的 cis, cop/coup, scind/scis, sect, sever, tons 和来自希腊语的 tom[tem]。"
328,"OL, OD","来自拉丁语的 ol, od 意为 smell。"
329,FULG,来自拉丁语的 fulg 意为 to shine。同义词根有来自拉丁语的 splend。
330,SPLEND,来自拉丁语的 splend 意为 to shine。同义词根为来自拉丁语的 fulg。
331,"FRACT, FRAG[FRA, FRING]","来自拉丁语的 fract, frag 意为 to break, 变形为 fra, fring。同义词根有来自拉丁语的 rupt。"
332,PLANT,来自拉丁语的 plant 意为 to plant。
333,CINCT,"来自拉丁语的 cinct 意为 to bind, to gird。同义词根有来自拉丁语的 lig[li, leag, ly], nect/nex, strain/strict/string/stress 等,以及来自盎格鲁-撒克逊语的 bond。另外,意为 to join 的 junct/join/jug 也与此类似。"
334,"RAP, RAV[REP]","来自拉丁语的 rap, rav 意为 to take, to snatch。rap 中的元音弱化后变成 rep。同义词根有来自拉丁语的 prehend/prehens, pris, cap/capt/cept/ceiv[cip, cup, ceit], empt/em, sump/sumpt, lab/lep 等。"
335,PLU,来自拉丁语的 plu 意为 more。
336,CILI,来自拉丁语的 cili 意为 eyelid。
337,"MIT, MISS[MIS, MESS]","来自拉丁语的 mit, miss 意为 to send, 变形为 mis 和 mess。同义词根有来自拉丁语的 leg 和来自希腊语的 stle。"
338,"SCEND[SCENT, SCENS, SCAN]","来自拉丁语的 scend 意为 to climb, 变形有 scent, scens, scan 等。另外,来自拉丁语的 scal 有 ladder 的意思,含义相似。"
339,VEST,来自拉丁语的 vest 意为 to dress。
340,HER,"来自拉丁语的 her 意为 heir, 注意不要和意为 to stick 的 her/hes 相混淆。"
341,FORM,来自拉丁语的 form 意为 form。同义词根有来自希腊语的 morph。
342,BOND,"来自拉丁语的 bond 意为 to bind。同义词根有来自拉丁语的 cinct, lig[li, leag, ly], nect/nex, strain/strict/string/stress 等。另外,注意不要和意为 to join 的 junct/join/jug 相混淆。"
343,SALV[SAV],"来自拉丁语的 salv 意为 safe, sav 是它的变形。"
344,CARN,来自拉丁语的 carn 意为 flesh。
345,PIL,来自拉丁语的 pil 意为 hair。
346,VERB,来自拉丁语的 verb 意为 word。同义词根有来自希腊语的 lex。
347,MIR,来自拉丁语的 mir 意为 to wonder。
348,EV,"来自拉丁语的 ev 意为 time, age。同义词根有来自拉丁语的 tempor 和来自希腊语的 chron。"
349,"PROX, PROP","来自拉丁语的 prox 意为 near, prop 也属于此系统。"
350,BREV,来自拉丁语的 brev 意为 short。
351,"AC, ACR","来自拉丁语的 ac, acr 意为 sharp。"
352,LETH,"来自希腊语的 leth 意为 death。同义词根有来自拉丁语的 mort/mors/mor 和来自希腊语的 necr, thanat/than。"
353,PROPR,来自拉丁语的 propr 意为 one's own。
354,HIER,"来自希腊语的 hier 意为 holy。同义词根有来自拉丁语的 secr/sacr/sanct, pi 和来自希腊语的 hagi。"
355,LOG,来自希腊语的 log 意为 speech。
356,"AUD[ED, EIS]","来自拉丁语的 aud 意为 to hear, 其变形为 ed, eis。同义词根为来自希腊语的 acou。"
357,"LET, LIV","来自拉丁语的 let, liv 意为 lime。"
358,CUSS,"来自拉丁语的 cuss 意为 to strike, to shake。同义词根有来自拉丁语的 bat, flict, fend/fens, lid/lis, plaud/plaus[plod, plos, plex] 和来自盎格鲁-撒克逊语的 sla。"
359,DOC,来自拉丁语的 doc 意为 to teach。
360,IMIT,来自拉丁语的 imit 意为 to mimic。
361,"PLAUD, PLAUS[PLOD, PLOS, PLEX]","来自拉丁语的 plaud, plaus 意为 to strike, plod, plos, plex 是它们的变形。同义词根有来自拉丁语的 bat, flict, cuss, fend/fens[fenc, fest], lid/lis 等和来自盎格鲁-撒克逊语的 sla。"
362,DOMIT,来自拉丁语的 domit 意为 to tame。
363,CENS,来自拉丁语的 cens 意为 to assess。
364,CULP,"来自拉丁语的 culp 意为 fault, to blame。"
365,PALP,来自拉丁语的 palp 意为 to touch。同义词根有来自拉丁语的 tig/tag/tang/tact 和 tegr。
366,PECC,来自拉丁语的 pecc 意为 sin。
367,CEL,"来自拉丁语的 cel 意为 sky, heaven。同义词根有来自希腊语的 uran。"
368,GLOB,来自拉丁语的 glob 意为 sphere。
369,MAR,"来自拉丁语的 mar 意为 war, 也有 sea 的意思。"
370,"OP, OPT, OPHTHALM","来自希腊语的 op, opt 意为 eye, 同义词根有来自拉丁语的 ocul。ophthalm 也与此相关。"
371,MATR[MATER],"来自拉丁语的 matr 意为 mother, 变形为 mater。"
372,PATR[PATER],"来自拉丁语的 patr 意为 father, country, 变形为 pater。"
373,REG[REIG],"来自拉丁语的 reg 意为 to rule, reig 是它的变形。同义词根有来自希腊语的 arch, cracy/crat。"
374,RUS[RUR],"来自拉丁语的 rus 意为 country, rur 是它的变形。"
375,CRUC[CRUIS],"来自拉丁语的 cruc 意为 cross, cruis 是它的变形。"
376,COLOSS[COLIS],"来自希腊语的 coloss 意为 great, 变形为 colis。同义词根有来自拉丁语的 grand, maj, max 和来自希腊语的 magn, maha, mega/megalo, metro 等。"
377,HEMER,来自希腊语的 hemer 意为 day。同义词根有来自拉丁语的 journ。
378,"NOCT, NOX","来自拉丁语的 noct, nox 意为 night。"
379,"NOMIN, NOMEN","来自拉丁语的 nomin, nomen 意为 name。注意希腊语的 nom 意为 law, order, rule, 形态相似但含义不同。"
380,BAN,"来自拉丁语的 ban 意为 prohibition, control。"
381,"PRIM[PREM, PRIN, PRI]","来自拉丁语的 prim 意为 first, 变形有 prem, prin, pri 等。"
382,DIG,"来自拉丁语的 dig 意为 to need, to lack。"
383,RAD,"来自拉丁语的 rad 意为 ray。注意与意为 to rub, to scrape 的 rad/ras[raz] 和意为 root 的 radic[radis] 相区别。"
384,VIG[VEG],"来自拉丁语的 vig 意为 to live, lively, 它的元音弱化形为 veg。同义词根有来自拉丁语的 anim, viv/vit 和来自希腊语的 bio。"
385,FERV,来自拉丁语的 ferv 意为 to boil。同义词根有来自拉丁语的 bull。
386,DORM,来自拉丁语的 dorm 意为 to sleep。同义词根有来自拉丁语的 somn 和来自希腊语的 hypn。
387,MILIT,来自拉丁语的 milit 意为 to fight。同义词根有来自拉丁语的 pugn。
388,VAG,"来自拉丁语的 vag 意为 to wander。同义词根有来自拉丁语的 err, plan。"
389,DULG,来自拉丁语的 dulg 意为 to yield。
390,CHAL,"来自拉丁语的 chal 意为 warm, ardent。"
391,OP,"来自拉丁语的 op 意为 to work, riches。同义词根有来自拉丁语的 labor。注意与意为 eye 的希腊语 op, opt 相区别。"
392,SOMN,来自拉丁语的 somn 意为 to sleep。同义词根有来自拉丁语的 dorm 和来自希腊语的 hypn。
393,CORP,来自拉丁语的 corp 意为 body。同义词根有来自希腊语的 som/somat 和来自盎格鲁-撒克逊语的 body。
394,MUN,"来自拉丁语的 mun 意为 duty, function, gift, service。"
395,COMIT,来自拉丁语的 comit 意为 to accompany。同义词根有来自拉丁语的 soci。
396,MORD[MORS],"来自拉丁语的 mord, mors 意为 to bite。注意与意为 death 的 mort, mors, mor 相区别。"
397,CLAR[CLAIR],"来自拉丁语的 clar 意为 clear, clair 是它的变形。"
398,MERC,来自拉丁语的 merc 意为 to trade。
399,"BAT[BET, BIT]","来自希腊语的 bat 意为 to go, bet, bit 是它的变形。同义词根有来自拉丁语的 ced, cess[ceed, ceas], grad/gred/gress, it, vad/vas 等，此外,还有来自盎格鲁-撒克逊语的 fare。另外,在前面还学过意为 to strike, to beat 的 bat, 注意不要混淆。"
400,"AUG, AUCT[AUX]","来自拉丁语的 aug, auct 意为 to increase, aux 是它们的变形。"
401,"MAND, MEND","来自拉丁语的 mand, mend 意为 to order, to entrust。同义词根有来自拉丁语的 ordin, 意为 to order。注意与意为 fault 的 mend 相区别。"
402,MIM,来自拉丁语的 mim 意为 to imitate。
403,"GRAPH, GRAM","来自希腊语的 graph, gram 意为 to write。同义词根有来自拉丁语的 scrib/script。"
404,"CAUST, CAUT","来自希腊语的 caust, caut 意为 to burn。同义词根有来自拉丁语的 flagr/flam, arid, torr 和来自希腊语的 ether, 此外还有来自盎格鲁-撒克逊语的 burn/bran。"
405,"CRAT, CRACY","来自希腊语的 crat, cracy 意为 to govern, to rule, government。同义词根有来自拉丁语的 reg 和来自希腊语的 arch。"
406,"THET, THES[THEC, THEM]","来自希腊语的 thet, thes 意为 to place, to put, thec, them 是其变形。同义词根有来自拉丁语的 sert, loc, pos/post/pon/pound, stal 等和来自希腊语的 top。"
407,AX,来自拉丁语的 ax 意为 axis。
408,"POLIT[POLIC, POLIS]","来自希腊语的 polit 意为 city, state, polic, polis 是它的变形。同义词根有来自拉丁语的 urb。"
409,EGYR,来自希腊语的 egyr 意为 to bring together。
410,"ECO[ECU, OCE]","来自拉丁语的 eco 意为 house, ecu, oce 是它的变形。同义词根有来自拉丁语的 cas。"
411,LITH,来自希腊语的 lith 意为 stone。同义词根有来自拉丁语的 lapid 和来自希腊语的 petr。
412,NARC,"来自希腊语的 narc 意为 numbness, stupor。"
413,"PRAG, PRACT","来自希腊语的 prag, pract 意为 to do, business。"
414,PTO,来自希腊语的 pto 意为 to fall。同义词根有来自拉丁语的 cid/cad/cas 和 laps。
415,NOT,"来自拉丁语的 not 意为 to know。同义词根有来自拉丁语的 gno, sci。"
416,VOR,来自拉丁语的 vor 意为 to eat。同义词根有来自拉丁语的 ed/es 和来自希腊语的 phag。
417,DEXTR,"来自拉丁语的 dextr 意为 right hand。sinistr 是它的反义词根,意为 left hand。"
418,CAVAL[CHIVAL],"来自拉丁语的 caval 意为 horse, 变形为 chival。同义词根有来自拉丁语的 equ 和来自希腊语的 hipp。"
419,MAGN,"来自拉丁语的 magn 意为 great。同义词根有来自拉丁语的 grand, maj, max 和来自希腊语的 coloss, maha, mega/megalo, metro 等。"
420,GRAT[GRAC],"来自拉丁语的 grat 意为 thankful, pleasing, grac 是它的变形。"
421,MERIT,"来自拉丁语的 merit 意为 to deserve, to earn。"
422,PHON,来自希腊语的 phon 意为 sound。同义词根有来自拉丁语的 son 和来自希腊语的 ech。
423,LUMIN[LUN],"来自拉丁语的 lumin 意为 light, lun 是它的变形。同义词根有来自拉丁语的 luc/lux/lust 和来自希腊语的 photo 以及来自盎格鲁-撒克逊语的 light。"
424,"PHAN[PHEN, FAN]","来自希腊语的 phan 意为 to show, to appear, 其元音弱化后变成 phen。fan 也是其变形。同义词根有来自拉丁语的 monstr。"
425,"MELL, MEL[MIL, MOL, MAR]","来自拉丁语的 mell, mel 意为 honey, mil, mol, mar 是它们的变形。注意与意为 to grind, grain, burden, heap 的 mol 和意为 soft 的 moll 相区别。"
426,POPUL[PUBL],"来自拉丁语的 popul 意为 people, publ 是它的变形。同义词根有来自拉丁语的 pleb, vulg[mulg] 和来自希腊语的 demo 以及来自盎格鲁-撒克逊语的 la。此外还请记住意为 man (人类、人)的 anthrop/hom/man, 意为 man (男子)的 andr/mascul/vir, 以及意为 woman (女子)的 femin/gyn/virg。"
427,MIGR,来自拉丁语的 migr 意为 to move。同义词根有来自拉丁语的 mot/mob/mov 和来自希腊语的 kine/cinema。
428,VARIC,来自拉丁语的 varic 意为 to straddle。
429,ULTIM,"来自拉丁语的 ultim 意为 end。同义词根有来自拉丁语的 fin, termin 和来自希腊语的 bys。"
430,ORN,来自拉丁语的 orn 意为 to decorate。
431,SCAL,"来自拉丁语的 scal 意为 ladder。另外,请注意来自拉丁语的 scend/scens/scent/scan 与此词根含义相似,意为 to climb。"
432,ONER,来自拉丁语的 oner 意为 burden。
433,INSUL[ISOL],"来自拉丁语的 insul 意为 island, isol 是它的变形。同义词根有来自盎格鲁-撒克逊语的 nes。"
434,STIP,来自拉丁语的 stip 意为 to press together。
435,"CAST[CEST, CHAST]","来自拉丁语的 cast 意为 pure, cest, chast 是它的变形。同义词根有来自希腊语的 cath。"
436,PAT,"来自拉丁语的 pat 意为 to walk。同义词根有来自拉丁语的 ambul[ambl]。注意与意为 to feel, to suffer 的希腊语 path 和拉丁语 pat, pass 相区别。"
437,CRASTIN,来自拉丁语的 crastin 意为 tomorrow。
438,FLIG,"来自拉丁语的 flig 意为 to drive。同义词根有来自拉丁语的 ig/ag/act, pel/puls[peal]。另外,来自拉丁语的意为 to lead 的 duc/duct[du], men[mean] 和来自希腊语的 agog 也有相似的含义。"
439,ART,"来自拉丁语的 art 意为 skill, art。"
440,ACERB,"来自拉丁语的 acerb 意为 bitter, harsh。"
441,BIL,"来自拉丁语的 bil 意为 strong。同义词根有来自拉丁语的 firm, forc/fort, rob, val[vail] 等。"
442,FUSC,来自拉丁语的 fusc 意为 dark。同义词根有来自盎格鲁-撒克逊语的 maur[moor]。
443,RAT,来自拉丁语的 rat 意为 to reckon。
444,JUST,来自拉丁语的 just 意为 right。同义词根有来自希腊语的 orth(o)。
